Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,CHO,local-authority-eng:CHO,NMD,Non-metropolitan district,LAN,Chorley Borough Council,Chorley,,,,,E07000118,,30UE,,30UE,7000000000004760,E2334,
local-authority-eng,BUN,local-authority-eng:BUN,NMD,Non-metropolitan district,LEC,Burnley Borough Council,Burnley,,,,,E07000117,,30UD,,30UD,7000000000004560,E2333,
local-authority-eng,LAN,local-authority-eng:LAN,CTY,County,,Lancashire County Council,Lancashire,,,,,E10000017,,888,30-00,30,7000000000005150,E2321,
local-authority-eng,TUN,local-authority-eng:TUN,NMD,Non-metropolitan district,KEN,Tunbridge Wells Borough Council,Tunbridge Wells,,,,,E07000116,,29UQ,,29UQ,7000000000018650,E2244,
local-authority-eng,TON,local-authority-eng:TON,NMD,Non-metropolitan district,KEN,Tonbridge and Malling Borough Council,Tonbridge and Malling,Tonbridge & Malling,,,,E07000115,,29UP,,29UP,7000000000018340,E2243,
local-authority-eng,THA,local-authority-eng:THA,NMD,Non-metropolitan district,LAN,Thanet District Council,Thanet,,,,,E07000114,,29UN,,29UN,7000000000018130,E2242,
local-authority-eng,SWL,local-authority-eng:SWL,NMD,Non-metropolitan district,LAN,Swale Borough Council,Swale,,,,,E07000113,,29UM,,29UM,7000000000018240,E2241,
local-authority-eng,SHE,local-authority-eng:SHE,NMD,Non-metropolitan district,LAN,Shepway District Council,Shepway,,,,,E07000112,,29UL,,29UL,7000000000018080,E2240,
local-authority-eng,SEV,local-authority-eng:SEV,NMD,Non-metropolitan district,KEN,Sevenoaks District Council,Sevenoaks,,,,,E07000111,,29UK,,29UK,7000000000018590,E2239,
local-authority-eng,MAI,local-authority-eng:MAI,NMD,Non-metropolitan district,KEN,Maidstone Borough Council,Maidstone,,,,,E07000110,,29UH,,29UH,7000000000018220,E2237,
local-authority-eng,GRA,local-authority-eng:GRA,NMD,Non-metropolitan district,KEN,Gravesham Borough Council,Gravesham,,,,,E07000109,,29UG,,29UG,7000000000018510,E2236,
local-authority-eng,DOV,local-authority-eng:DOV,NMD,Non-metropolitan district,LAN,Dover District Council,Dover,,,,,E07000108,,29UE,,29UE,7000000000017970,E2234,
local-authority-eng,DAR,local-authority-eng:DAR,NMD,Non-metropolitan district,KEN,Dartford Borough Council,Dartford,,,,,E07000107,,29UD,,29UD,7000000000018630,E2233,
local-authority-eng,CAT,local-authority-eng:CAT,NMD,Non-metropolitan district,LAN,Canterbury City Council,Canterbury,,,,,E07000106,,29UC,,29UC,7000000000018130,E2232,
local-authority-eng,ASF,local-authority-eng:ASF,NMD,Non-metropolitan district,LAN,Ashford Borough Council,Ashford,,,,,E07000105,,29UB,,29UB,7000000000018230,E2231,
local-authority-eng,KEN,local-authority-eng:KEN,CTY,County,,Kent County Council,Kent,,,,,E10000016,,886,29-00,29,7000000000018210,E2221,
local-authority-eng,WEW,local-authority-eng:WEW,NMD,Non-metropolitan district,HRT,Welwyn Hatfield Borough Council,Welwyn Hatfield,,,,,E07000241,E07000104,26UL,,26UL,7000000000003720,E1940,
local-authority-eng,WAT,local-authority-eng:WAT,NMD,Non-metropolitan district,HRT,Watford Borough Council,Watford,,,,,E07000103,,26UK,,26UK,7000000000003790,E1939,
local-authority-eng,THE,local-authority-eng:THE,NMD,Non-metropolitan district,HRT,Three Rivers District Council,Three Rivers,,,,,E07000102,,26UJ,,26UJ,7000000000003820,E1938,
local-authority-eng,STV,local-authority-eng:STV,NMD,Non-metropolitan district,KEN,Stevenage Borough Council,Stevenage,,,,,E07000243,E07000101,26UH,,26UH,7000000000003740,E1937,
local-authority-eng,SAL,local-authority-eng:SAL,NMD,Non-metropolitan district,KEN,St Albans City and District Council,St Albans,,,,,E07000240,E07000100,26UG,,26UG,7000000000003870,E1936,
local-authority-eng,NHE,local-authority-eng:NHE,NMD,Non-metropolitan district,KEN,North Hertfordshire District Council,North Hertfordshire,,,,,E07000099,,26UF,,26UF,7000000000003890,E1935,
local-authority-eng,HER,local-authority-eng:HER,NMD,Non-metropolitan district,HRT,Hertsmere Borough Council,Hertsmere,,,,,E07000098,,26UE,,26UE,7000000000003700,E1934,
local-authority-eng,EHE,local-authority-eng:EHE,NMD,Non-metropolitan district,HRT,East Hertfordshire District Council,East Hertfordshire,,,,,E07000242,E07000097,26UD,,26UD,7000000000003670,E1933,
local-authority-eng,DAC,local-authority-eng:DAC,NMD,Non-metropolitan district,KEN,Dacorum Borough Council,Dacorum,,,,,E07000096,,26UC,,26UC,7000000000003920,E1932,
local-authority-eng,BRX,local-authority-eng:BRX,NMD,Non-metropolitan district,HRT,Broxbourne Borough Council,Broxbourne,,,,,E07000095,,26UB,,26UB,7000000000003620,E1931,
