name,local-authority,,
powys county council,local-authority-wls:POW,POW,POW
reading,local-authority-eng:RDG,RDG,RDG
reading borough council,local-authority-eng:RDG,RDG,RDG
redbridge,local-authority-eng:RDB,RDB,RDB
redbridge london boro,local-authority-eng:RDB,RDB,RDB
redcar and cleveland,local-authority-eng:RCC,RCC,RCC
redcar and cleveland borough council,local-authority-eng:RCC,RCC,RCC
renfrewshire,local-authority-sct:RFW,RFW,RFW
renfrewshire council,local-authority-sct:RFW,RFW,RFW
rhondda cynon taf,local-authority-wls:RCT,RCT,RCT
rhondda cynon taf county borough council,local-authority-wls:RCT,RCT,RCT
rhondda cynon taff,local-authority-wls:RCT,RCT,RCT
"rhondda, cynon, taff",local-authority-wls:RCT,RCT,RCT
"rhondda,cynon,taff",local-authority-wls:RCT,RCT,RCT
richmond upon thames,local-authority-eng:RIC,RIC,RIC
richmond upon thames london boro,local-authority-eng:RIC,RIC,RIC
richmond-upon-thames,local-authority-eng:RIC,RIC,RIC
richmondshire,local-authority-eng:RIH,RIH,RIH
richmondshire district,local-authority-eng:RIH,RIH,RIH
richmondshire district council,local-authority-eng:RIH,RIH,RIH
rochdale,local-authority-eng:RCH,RCH,RCH
rochdale district,local-authority-eng:RCH,RCH,RCH
rochdale metropolitan borough council,local-authority-eng:RCH,RCH,RCH
rotherham,local-authority-eng:ROT,ROT,ROT
rotherham district,local-authority-eng:ROT,ROT,ROT
rotherham metropolitan borough council,local-authority-eng:ROT,ROT,ROT
royal borough of greenwich,local-authority-eng:GRE,GRE,GRE
royal borough of kensington and chelsea,local-authority-eng:KEC,KEC,KEC
royal borough of kingston upon thames,local-authority-eng:KTT,KTT,KTT
royal borough of windsor and maidenhead,local-authority-eng:WNM,WNM,WNM
rutland,local-authority-eng:RUT,RUT,RUT
rutland county council,local-authority-eng:RUT,RUT,RUT
salford,local-authority-eng:SLF,SLF,SLF
salford city council,local-authority-eng:SLF,SLF,SLF
salford district,local-authority-eng:SLF,SLF,SLF
